src/actividad1/Hora.java:9:	ShortClassName:	ShortClassName: Avoid short class names like Hora
src/actividad1/Hora.java:11:	AvoidFieldNameMatchingTypeName:	AvoidFieldNameMatchingTypeName: It is somewhat confusing to have a field name matching the declaring class name
src/actividad1/Hora.java:11:	CommentRequired:	CommentRequired: Field comments are required
src/actividad1/Hora.java:12:	CommentRequired:	CommentRequired: Field comments are required
src/actividad1/Hora.java:29:	CommentRequired:	CommentRequired: Public method and constructor comments are required
src/actividad1/Hora.java:29:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'hora' is not assigned and could be declared final
src/actividad1/Hora.java:29:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'minutos' is not assigned and could be declared final
src/actividad1/Hora.java:43:	CommentRequired:	CommentRequired: Public method and constructor comments are required
src/actividad1/Hora.java:44:	AvoidLiteralsInIfCondition:	AvoidLiteralsInIfCondition: Avoid using literals in if statements
src/actividad1/Hora.java:48:	AvoidLiteralsInIfCondition:	AvoidLiteralsInIfCondition: Avoid using literals in if statements
src/actividad1/Hora.java:56:	CommentRequired:	CommentRequired: Public method and constructor comments are required
src/actividad1/Hora.java:56:	LinguisticNaming:	LinguisticNaming: Linguistics Antipattern - The setter 'setMinutos' should not return any type except void linguistically
src/actividad1/Hora.java:56:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'valor' is not assigned and could be declared final
src/actividad1/Hora.java:59:	OnlyOneReturn:	OnlyOneReturn: A method should have only one exit point, and that should be the last statement in the method
src/actividad1/Hora.java:65:	CommentRequired:	CommentRequired: Public method and constructor comments are required
src/actividad1/Hora.java:65:	LinguisticNaming:	LinguisticNaming: Linguistics Antipattern - The setter 'setHora' should not return any type except void linguistically
src/actividad1/Hora.java:65:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'valor' is not assigned and could be declared final
src/actividad1/Hora.java:68:	OnlyOneReturn:	OnlyOneReturn: A method should have only one exit point, and that should be the last statement in the method
src/actividad1/Hora.java:74:	MissingOverride:	MissingOverride: The method 'toString()' is missing an @Override annotation.
src/actividad1/HoraExacta.java:3:	CommentRequired:	CommentRequired: Class comments are required
src/actividad1/HoraExacta.java:4:	CommentRequired:	CommentRequired: Field comments are required
src/actividad1/HoraExacta.java:6:	CommentRequired:	CommentRequired: Public method and constructor comments are required
src/actividad1/HoraExacta.java:6:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'hora' is not assigned and could be declared final
src/actividad1/HoraExacta.java:6:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'minutos' is not assigned and could be declared final
src/actividad1/HoraExacta.java:6:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'segundos' is not assigned and could be declared final
src/actividad1/HoraExacta.java:21:	CommentRequired:	CommentRequired: Public method and constructor comments are required
src/actividad1/HoraExacta.java:21:	LinguisticNaming:	LinguisticNaming: Linguistics Antipattern - The setter 'setSegundo' should not return any type except void linguistically
src/actividad1/HoraExacta.java:21:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'valor' is not assigned and could be declared final
src/actividad1/HoraExacta.java:24:	OnlyOneReturn:	OnlyOneReturn: A method should have only one exit point, and that should be the last statement in the method
src/actividad1/HoraExacta.java:30:	MissingOverride:	MissingOverride: The method 'inc()' is missing an @Override annotation.
src/actividad1/HoraExacta.java:31:	AvoidLiteralsInIfCondition:	AvoidLiteralsInIfCondition: Avoid using literals in if statements
src/actividad1/HoraExacta.java:39:	MissingOverride:	MissingOverride: The method 'toString()' is missing an @Override annotation.
src/actividad1/HoraMain.java:11:	UseUtilityClass:	UseUtilityClass: This utility class has a non-private constructor
src/actividad1/HoraMain.java:18:	LocalVariableCouldBeFinal:	LocalVariableCouldBeFinal: Local variable 'HoraExacta1' could be declared final
src/actividad1/HoraMain.java:18:	LocalVariableNamingConventions:	LocalVariableNamingConventions: The local variable name 'HoraExacta1' doesn't match '[a-z][a-zA-Z0-9]*'
src/actividad1/HoraMain.java:18:	UnnecessaryFullyQualifiedName:	UnnecessaryFullyQualifiedName: Unnecessary qualifier 'HoraMain': 'crearHora' is already in scope
src/actividad1/HoraMain.java:19:	UnnecessaryFullyQualifiedName:	UnnecessaryFullyQualifiedName: Unnecessary qualifier 'HoraMain': 'reloj' is already in scope
src/actividad1/HoraMain.java:20:	UnnecessaryFullyQualifiedName:	UnnecessaryFullyQualifiedName: Unnecessary qualifier 'HoraMain': 'modificarsegundos' is already in scope
src/actividad1/HoraMain.java:22:	CommentRequired:	CommentRequired: Public method and constructor comments are required
src/actividad1/HoraMain.java:23:	CloseResource:	CloseResource: Ensure that resources like this Scanner object are closed after use
src/actividad1/HoraMain.java:23:	LocalVariableCouldBeFinal:	LocalVariableCouldBeFinal: Local variable 'scanner' could be declared final
src/actividad1/HoraMain.java:27:	SystemPrintln:	SystemPrintln: Usage of System.out/err
src/actividad1/HoraMain.java:31:	LocalVariableCouldBeFinal:	LocalVariableCouldBeFinal: Local variable 'HoraExacta1' could be declared final
src/actividad1/HoraMain.java:31:	LocalVariableNamingConventions:	LocalVariableNamingConventions: The local variable name 'HoraExacta1' doesn't match '[a-z][a-zA-Z0-9]*'
src/actividad1/HoraMain.java:36:	CommentRequired:	CommentRequired: Public method and constructor comments are required
src/actividad1/HoraMain.java:36:	FormalParameterNamingConventions:	FormalParameterNamingConventions: The method parameter name 'HoraExacta1' doesn't match '[a-z][a-zA-Z0-9]*'
src/actividad1/HoraMain.java:36:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'HoraExacta1' is not assigned and could be declared final
src/actividad1/HoraMain.java:38:	SystemPrintln:	SystemPrintln: Usage of System.out/err
src/actividad1/HoraMain.java:41:	AvoidLiteralsInIfCondition:	AvoidLiteralsInIfCondition: Avoid using literals in if statements
src/actividad1/HoraMain.java:45:	AvoidLiteralsInIfCondition:	AvoidLiteralsInIfCondition: Avoid using literals in if statements
src/actividad1/HoraMain.java:49:	AvoidLiteralsInIfCondition:	AvoidLiteralsInIfCondition: Avoid using literals in if statements
src/actividad1/HoraMain.java:54:	DoNotUseThreads:	DoNotUseThreads: To be compliant to J2EE, a webapp should not use any thread.
src/actividad1/HoraMain.java:56:	SystemPrintln:	SystemPrintln: Usage of System.out/err
